age  team  league  position  game_played  game_started  min_pg  fg_pg  fga_pg  fg_pct  fg3_pg  fg3a_pg  fg3_pct  fg2_pg  fg2a_pg  fg2_pct  efg_pct  ft_pg  fta_pg  ft_pct  orb_pg  drb_pg  trb_pg  ast_pg  stl_pg  blk_pg  tov_pg  pf_pg  pts_pg  draft_order  shoot_hand  player_height  player_weight  C  SG  SF  PG  PF  Right  Left  6-11  7-1  6-8  7-3  6-0  5-10  6-5  6-6  5-11  6-1  6-4  5-9  6-7  6-3  6-10  7-2  6-9  7-0  6-2  
29  MEM  NBA  SG  72  31  20.8  3.5  6.8  .510  0.1  0.3  .174  3.4  6.5  .527  .514  1.9  2.5  .753  1.0  1.7  2.7  1.4  1.8  0.6  1.2  2.2  8.9  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
30  MEM  NBA  SG  58  57  26.3  3.6  7.7  .469  0.1  0.4  .308  3.5  7.3  .479  .478  2.4  3.0  .800  1.7  2.3  4.0  1.4  1.8  0.6  1.6  2.4  9.8  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
31  MEM  NBA  SG  79  79  26.7  3.6  8.1  .445  0.0  0.3  .125  3.6  7.8  .458  .447  1.7  2.4  .717  1.5  3.1  4.6  1.2  1.5  0.6  1.2  2.7  8.9  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
33  MEM  NBA  SG  63  41  26.2  3.6  7.2  .495  0.2  0.5  .345  3.4  6.8  .505  .505  1.3  2.0  .627  1.6  2.8  4.4  1.4  2.0  0.5  1.4  2.6  8.6  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
34  MEM  NBA  SG  64  57  25.3  3.4  7.3  .458  0.2  0.7  .357  3.1  6.7  .468  .474  1.4  2.2  .652  1.6  3.0  4.6  1.1  1.7  0.3  1.2  2.7  8.4  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
35  MEM  NBA  SG  71  66  27.0  3.9  8.4  .461  0.2  0.8  .278  3.6  7.6  .479  .473  1.1  1.8  .615  2.3  3.2  5.5  1.4  1.6  0.4  1.4  2.5  9.1  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
36  NOP  NBA  SG  21  0  12.9  2.1  4.3  .484  0.2  0.6  .333  1.9  3.8  .506  .505  0.5  1.0  .524  1.0  1.3  2.2  0.4  0.5  0.1  0.9  2.3  4.9  25  Right  6-4  213  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  
20  LAC  NBA  SF  81  14  17.9  2.0  5.0  .394  0.6  1.8  .315  1.4  3.2  .437  .450  1.1  1.5  .773  0.9  2.4  3.3  0.7  0.7  0.3  1.3  1.5  5.6  8  Right  6-9  220  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
21  NOH  NBA  SF  66  21  22.4  2.3  5.5  .411  0.2  0.7  .277  2.1  4.8  .431  .429  1.3  1.7  .754  1.4  3.2  4.7  1.0  0.9  0.5  1.4  2.1  6.0  8  Right  6-9  220  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
22  NOH  NBA  SF  76  71  27.2  3.0  6.2  .475  0.1  0.3  .211  2.9  6.0  .486  .479  1.3  1.8  .737  1.8  5.9  7.7  1.4  1.2  0.7  1.5  2.0  7.3  8  Right  6-9  220  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
23  NOP  NBA  SF  80  65  25.6  2.9  6.2  .474  0.2  0.6  .271  2.8  5.6  .496  .487  1.1  1.7  .664  1.6  4.6  6.2  1.4  1.0  0.5  1.1  1.8  7.2  8  Right  6-9  220  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
24  DAL  NBA  SF  74  3  18.5  2.0  4.8  .412  0.5  1.7  .274  1.5  3.1  .485  .459  1.1  1.6  .712  1.5  3.1  4.6  0.8  0.9  0.8  0.7  1.9  5.6  8  Right  6-9  220  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
25  POR  NBA  SF  82  82  28.5  3.6  8.8  .416  1.5  4.3  .361  2.1  4.5  .468  .503  1.4  1.9  .737  1.2  4.9  6.1  1.7  0.9  0.6  1.5  2.1  10.2  8  Right  6-9  220  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
26  POR  NBA  SF  61  25  29.1  3.0  7.6  .393  1.1  3.5  .330  1.9  4.2  .445  .468  1.6  2.2  .706  1.3  6.1  7.4  1.6  1.0  0.7  1.5  1.7  8.7  8  Right  6-9  220  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
21  SAS  NBA  SF  33  8  10.8  0.9  2.7  .348  0.1  0.3  .273  0.8  2.4  .359  .365  0.3  0.4  .643  0.2  2.0  2.2  0.8  0.5  0.2  0.3  0.8  2.2  30  Right  6-9  230  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
23  SAS  NBA  SG  72  14  14.2  1.3  2.9  .445  0.2  0.6  .375  1.1  2.3  .462  .481  0.6  0.8  .789  0.5  2.4  2.9  1.3  0.7  0.4  0.5  0.9  3.4  30  Right  6-9  230  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
24  SAS  NBA  SF  23  23  27.4  3.5  6.8  .513  0.2  0.5  .364  3.3  6.3  .524  .526  1.7  2.3  .755  1.3  4.6  6.0  3.0  1.2  0.8  1.3  1.6  8.9  30  Right  6-9  230  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
20  NJN  NBA  PF  66  30  19.9  2.4  6.2  .393  1.0  2.9  .365  1.4  3.3  .417  .478  1.5  1.8  .845  1.6  3.1  4.7  0.8  0.7  0.3  1.0  2.4  7.4  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
22  ORL  NBA  PF  64  14  22.3  3.5  8.2  .430  2.1  5.3  .393  1.4  2.9  .500  .558  1.5  1.8  .812  2.0  3.5  5.5  0.8  0.5  0.6  0.8  2.1  10.6  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
23  ORL  NBA  PF  61  61  32.2  5.4  12.4  .439  2.7  6.9  .393  2.7  5.5  .496  .548  2.5  2.8  .877  3.7  4.0  7.7  0.9  0.8  0.4  0.9  2.4  16.1  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
24  NOH  NBA  PF  81  22  30.9  5.8  13.8  .423  2.6  6.9  .382  3.2  6.9  .464  .519  1.9  2.2  .844  2.4  4.0  6.4  1.2  0.5  0.4  1.2  2.2  16.2  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
25  NOP  NBA  PF  22  14  36.1  7.0  16.1  .438  3.0  7.5  .409  4.0  8.6  .463  .532  2.7  2.8  .952  3.0  3.5  6.5  0.8  0.5  0.3  0.9  2.1  19.8  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
26  NOP  NBA  PF  61  5  27.5  4.8  12.0  .399  2.0  5.9  .340  2.8  6.1  .457  .483  2.1  2.5  .854  1.8  3.1  4.8  0.9  0.5  0.3  1.0  1.9  13.7  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
27  NOP  NBA  PF  66  7  30.4  6.0  14.1  .427  2.0  5.4  .366  4.0  8.7  .466  .498  3.0  3.5  .873  2.0  4.0  6.0  1.1  0.6  0.4  1.4  1.7  17.0  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
28  HOU  NBA  PF  72  72  29.4  4.5  10.7  .418  2.8  7.0  .403  1.7  3.7  .446  .550  1.8  2.1  .860  1.6  3.0  4.6  0.9  0.4  0.2  0.8  2.0  13.6  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
29  HOU  NBA  PF  22  21  29.5  4.4  9.2  .473  3.0  7.1  .423  1.4  2.1  .638  .635  1.0  1.2  .815  1.4  4.2  5.5  0.7  0.3  0.4  0.9  2.0  12.7  21  Right  6-10  240  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
20  MIL  NBA  SG  81  71  31.4  4.7  9.6  .491  0.1  0.5  .159  4.6  9.1  .511  .496  3.2  4.3  .741  1.2  5.5  6.7  2.6  0.9  1.0  2.1  3.1  12.7  15  Right  6-11  222  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
21  MIL  NBA  PG  80  79  35.3  6.4  12.7  .506  0.4  1.4  .257  6.1  11.3  .537  .520  3.7  5.1  .724  1.4  6.2  7.7  4.3  1.2  1.4  2.6  3.2  16.9  15  Right  6-11  222  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
